id,name,class,address,latitude,longitude
103,鼻頭龍洞遊憩區,國家級風景特定區,新北市瑞芳區鼻頭里1鄰鼻頭路1號,121.915831,25.124891
104,三峽歷史文物館,博物館,新北市三峽區三峽里5鄰中山路1號,121.369934,24.934173
105,三峽老街,其他,新北市三峽區永舘里4鄰民權街1號,121.370446,24.934695
106,內洞國家森林遊樂區,森林遊樂區,新北市烏來區信賢里3鄰娃娃谷1號,121.526393,24.836946
107,八里左岸公園,其他,新北市八里區大崁里1鄰觀海大道36號,121.430311,25.160579
108,前清淡水關稅務司官邸小白宮,其他,新北市淡水區文化里7鄰真理街15號,121.436336,25.174054
109,十分瀑布,其他,新北市平溪區南山里5鄰乾坑10號,121.787252,25.048568
110,十分遊客中心,其他,新北市平溪區南山里4鄰南山坪136號,121.782904,25.047253
111,大板根森林溫泉酒店,其他,新北市三峽區插角里3鄰插角79號,121.406805,24.871089
112,宏匯廣場,其他,新北市新莊區中原里1鄰新北大道四段3號,121.449451,25.059944
113,新北市坪林茶業博物館,博物館,新北市坪林區水德里1鄰水聳淒坑19之1號,121.712761,24.934335
114,新北市客家文化園區,博物館,新北市三峽區龍恩里30鄰隆恩街239號,121.359823,24.941708
115,新北市立十三行博物館,博物館,新北市八里區頂罟里6鄰博物館路200號,121.405007,25.156995
116,新北市立鶯歌陶瓷博物館,博物館,新北市鶯歌區南靖里12鄰文化路200號,121.352214,24.949328
117,新北市立黃金博物館,博物館,新北市瑞芳區金瓜石金光路8號,121.8553772,25.1075814
118,朱銘美術館,博物館,新北市金山區西湖里4鄰西勢湖2號,121.609855,25.242925
119,林口三井,其他,新北市林口區南勢里22鄰文化三路一段356號,121.363506,25.070789
120,林本源園邸林家花園,博物館,新北市板橋區留侯里8鄰西門街9號,121.454652,25.010967
121,水湳洞遊客中心,其他,新北市瑞芳區濓洞里19鄰洞頂路2號,121.862125,25.121456
122,法鼓山世界佛教教育園區,宗教場所,找不到指定的門牌地址。,121.5850583,25.247773
123,淡水漁人碼頭 ’,其他,新北市淡水區沙崙里2鄰觀海路199號,121.411406,25.18372
124,淡水紅毛城,其他,新北市淡水區文化里4鄰中正路28巷1號,121.433363,25.174651
125,淡水金色水岸,其他,新北市淡水區草東里1鄰中正路1號,121.445554,25.168232
126,清水祖師廟,宗教場所,新北市三峽區永舘里4鄰民權街1號,121.370446,24.934695
127,滬尾礮臺,其他,新北市淡水區油車里19鄰沙崙路216巷1號,121.425374,25.184146
128,滿月圓國家森林遊樂區,森林遊樂區,新北市三峽區有木里8鄰有木174之1號,121.444563,24.830636
129,烏來風景特定區,直轄市及縣,新北市烏來區烏來里1鄰烏來街1號,121.5517,24.866005
130,猴硐煤礦博物園區,其他,新北市瑞芳區猴硐柴寮路42號,121.8269412,25.0869792
131,瑞芳風景特定區,直轄市及縣,新北市瑞芳區頌德里3鄰汽車路89號,121.84347,25.109753
